,Prefecture,Prefecture_j,Prefecture_s,Numeric,Numeric_2,population_total,population_under_64,population_over_65,population_working_age_15_64,population_10s,population_20s,population_30s,population_40s,population_50s,population_60s,population_70s,population_80s,population_90s,population_over100,population_under9,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_94,age_95_99,age_over100
0,ALL,全国,全国,0,0.0,126654244,90885683.0,35768503.0,75566552.0,11204880.0,12822884.0,14374823.0,18425929.0,16811709.0,15510948.0,16227435.0,9058542.0,2303385.0,80637.0,9833014.0,4621309,5211705,5486117,5718763,6378448,6444436,6776236,7598587,8504661,9921268,8802532,8009177,7412444,8098504,9337199,6890236,5356401,3702141,1782093,521292,80637
1,Hokkaido,北海道,北海道,1,10006.0,5228732,3557745.0,1668858.0,2997094.0,426648.0,461395.0,545877.0,733566.0,697270.0,732742.0,736719.0,422416.0,111735.0,3858.0,354377.0,163053,191324,206274,220374,229785,231610,252800,293077,339246,394320,351510,345760,338612,394130,429532,307187,246784,175632,86277,25458,3858
2,Aomori,青森県,青森,2,20001.0,1260067,839046.0,420569.0,706292.0,104454.0,98992.0,122752.0,166674.0,171050.0,194399.0,180256.0,109971.0,27013.0,699.0,83355.0,38423,44932,49399,55055,49729,49263,55090,67662,78115,88559,84192,86858,91769,102630,106429,73827,62831,47140,21412,5601,699
3,Iwate,岩手県,岩手,3,30007.0,1221205,812874.0,407949.0,678544.0,105042.0,98478.0,120975.0,160380.0,158359.0,182353.0,167458.0,112040.0,31115.0,916.0,83707.0,37893,45814,50623,54419,49133,49345,54967,66008,76300,84080,77426,80933,85933,96420,97298,70160,63518,48522,24328,6787,916
4,Miyagi,宮城県,宮城,4,40002.0,2282106,1637558.0,644431.0,1365412.0,203398.0,225582.0,267825.0,330788.0,291259.0,306191.0,276895.0,161397.0,43765.0,1358.0,173531.0,80065,93466,98615,104783,113335,112247,124393,143432,158880,171908,148703,142556,145175,161016,164186,112709,93041,68356,34218,9547,1358
5,Akita,秋田県,秋田,5,50008.0,971604,609559.0,361729.0,515817.0,75475.0,67505.0,88985.0,122904.0,123914.0,157879.0,147053.0,100750.0,28802.0,767.0,57254.0,25524,31730,36488,38987,34081,33424,39486,49499,59121,63783,58882,65032,73522,84357,87202,59851,55985,44765,22803,5999,767
6,Yamagata,山形県,山形,6,60003.0,1070017,709576.0,359986.0,588903.0,94240.0,86395.0,107710.0,136845.0,133270.0,160668.0,146067.0,97632.0,30533.0,880.0,75322.0,34381,40941,45351,48889,44153,42242,49288,58422,66704,70141,64305,68965,75794,84874,86238,59829,54339,43293,23876,6657,880
7,Fukushima,福島県,福島,7,70009.0,1862777,1279516.0,582543.0,1065998.0,165614.0,166828.0,196004.0,244926.0,238092.0,279440.0,241746.0,149071.0,43787.0,1333.0,135218.0,63108,72110,78300,87314,83797,83031,91866,104138,116998,127928,115694,122398,132834,146606,142924,98822,84159,64912,34212,9575,1333
8,Ibaraki,茨城県,茨城,8,80004.0,2907678,2057038.0,850637.0,1713489.0,262645.0,280728.0,322516.0,417271.0,377084.0,388786.0,389464.0,200343.0,50903.0,1616.0,216319.0,99487,116832,127230,135415,142372,138356,150808,171708,192666,224605,196758,180326,180475,208311,225456,164008,121475,78868,39414,11489,1616
9,Tochigi,栃木県,栃木,9,90000.0,1955402,1392370.0,563031.0,1158811.0,177148.0,186184.0,221071.0,284538.0,251948.0,265985.0,254446.0,130562.0,35156.0,1054.0,147309.0,67909,79400,86250,90898,92866,93318,103268,117803,132771,151767,130418,121530,124172,141813,151658,102788,77135,53427,27122,8034,1054
10,Gunma,群馬県,群馬,10,100005.0,1958185,1375909.0,582192.0,1145927.0,180030.0,191674.0,206795.0,280655.0,255792.0,252091.0,265952.0,141222.0,38940.0,1332.0,143618.0,66286,77332,86364,93666,98707,92967,97072,109723,128270,152385,133927,121865,117345,134746,154478,111474,83200,58022,30196,8744,1332
11,Saitama,埼玉県,埼玉,11,110001.0,7393849,5434097.0,1959702.0,4543762.0,651312.0,784843.0,866712.0,1139957.0,1016376.0,851765.0,954453.0,466375.0,87954.0,2929.0,571123.0,268665,302458,319212,332100,388355,396488,409063,457649,516654,623303,549834,466542,403774,447991,538285,416168,296553,169822,69119,18835,2929
12,Chiba,千葉県,千葉,12,120006.0,6322897,4601091.0,1721801.0,3850865.0,553000.0,665860.0,735951.0,956982.0,860371.0,737455.0,826084.0,417163.0,86978.0,2872.0,480176.0,225871,254305,270050,282950,331540,334320,346450,389501,434714,522268,464298,396073,348751,388704,467326,358758,259462,157701,68239,18739,2872
13,Tokyo,東京都,東京,13,130001.0,13843525,10704794.0,3138535.0,9104176.0,1063408.0,1734132.0,1946804.0,2230622.0,1956841.0,1380273.0,1435198.0,825115.0,191812.0,6641.0,1072483.0,528572,543911,528135,535273,785532,948600,943139,1003665,1056837,1173785,1061006,895835,700504,679769,807883,627315,489134,335981,149458,42354,6641
14,Kanagawa,神奈川県,神奈川,14,140007.0,9220245,6892920.0,2327286.0,5785017.0,803892.0,1001336.0,1091022.0,1441087.0,1346799.0,1005754.0,1098776.0,586815.0,126901.0,4315.0,713509.0,337183,376326,394394,409498,493086,508250,513330,577692,655206,785881,730881,615918,495275,510479,615860,482916,359437,227378,98983,27918,4315
15,Niigata,新潟県,新潟,15,150002.0,2213353,1492916.0,720258.0,1242608.0,191043.0,189113.0,226810.0,300391.0,282450.0,313242.0,305831.0,188295.0,56516.0,2068.0,157415.0,71859,85556,92893,98150,95914,93199,104982,121828,142232,158159,142267,140183,145694,167548,180761,125070,107096,81199,43282,13234,2068
16,Toyama,富山県,富山,16,160008.0,1047713,711272.0,336402.0,593243.0,91700.0,96002.0,104648.0,149674.0,132929.0,133161.0,154942.0,84778.0,24720.0,873.0,74247.0,34812,39435,43782,47918,49441,46561,48843,55805,66847,82827,69286,63643,62072,71089,90539,64403,48266,36512,18855,5865,873
17,Ishikawa,石川県,石川,17,170003.0,1132656,797305.0,335351.0,657970.0,105066.0,111848.0,118284.0,163115.0,143149.0,140143.0,156778.0,80854.0,23546.0,915.0,88958.0,41694,47264,50377,54689,58858,52990,55807,62477,73832,89283,74450,68699,66885,73258,92524,64254,46405,34449,18028,5518,915
18,Fukui,福井県,福井,18,180009.0,774596,540540.0,234043.0,443586.0,73008.0,73381.0,81623.0,105098.0,97580.0,101949.0,102623.0,59483.0,18046.0,622.0,61170.0,28663,32507,35784,37224,37369,36012,38816,42807,48880,56218,48691,48889,48680,53269,60102,42521,33227,26256,13840,4206,622
19,Yamanashi,山梨県,山梨,19,190004.0,821094,569601.0,251396.0,474984.0,74066.0,77473.0,82587.0,110128.0,112624.0,110501.0,109485.0,63843.0,19697.0,789.0,59804.0,28051,31753,34813,39253,40409,37064,38749,43838,50090,60038,57418,55206,52919,57582,62897,46588,36957,26886,14820,4877,789
20,Nagano,長野県,長野,20,200000.0,2072219,1417230.0,654507.0,1168946.0,190596.0,182348.0,205303.0,287163.0,268762.0,266040.0,284560.0,172558.0,56497.0,2039.0,155871.0,71755,84116,92413,98183,93329,89019,95854,109449,132239,154924,138469,130293,127187,138853,161035,123525,98117,74441,43211,13286,2039
21,Gifu,岐阜県,岐阜,21,210005.0,2016868,1412254.0,604537.0,1165063.0,189988.0,193254.0,208577.0,281793.0,262537.0,255013.0,276322.0,153603.0,39377.0,1308.0,155019.0,70502,84517,92172,97816,101672,91582,97755,110822,128059,153734,134675,127862,121086,133927,159246,117076,91272,62331,30701,8676,1308
22,Shizuoka,静岡県,静岡,22,220001.0,3686335,2589533.0,1096727.0,2145267.0,334969.0,344025.0,398135.0,520710.0,486841.0,473461.0,498029.0,277048.0,70675.0,2448.0,279919.0,128162,151757,164347,170622,172974,171051,186044,212091,238179,282531,252543,234298,224934,248527,283927,214102,164794,112254,54497,16178,2448
23,Aichi,愛知県,愛知,23,230006.0,7558872,5671616.0,1887186.0,4674960.0,712534.0,846597.0,915716.0,1143677.0,1010826.0,812766.0,898814.0,469781.0,100473.0,3190.0,644428.0,305893,338535,352228,360306,419346,427251,439285,476431,522088,621589,540887,469939,397838,414928,508483,390331,289320,180461,78871,21602,3190
24,Mie,三重県,三重,24,240001.0,1800756,1268327.0,532230.0,1050667.0,165507.0,175314.0,191672.0,253198.0,237696.0,224706.0,240940.0,137560.0,35766.0,1155.0,137043.0,62969,74074,80617,84890,89788,85526,91038,100634,114426,138772,121633,116063,107897,116809,137994,102946,80832,56728,27879,7887,1155
25,Shiga,滋賀県,滋賀,25,250007.0,1418886,1048521.0,370322.0,852975.0,142211.0,145171.0,163940.0,210244.0,181333.0,166824.0,170347.0,88811.0,23830.0,850.0,125282.0,58034,67248,70264,71947,74868,70303,77287,86653,98045,112199,94630,86703,80340,86484,99592,70755,52339,36472,18492,5338,850
26,Kyoto,京都府,京都,26,260002.0,2530609,1790775.0,739767.0,1490791.0,225615.0,262374.0,270758.0,367984.0,333291.0,292217.0,349965.0,187764.0,47399.0,1885.0,191290.0,89818,101472,108694,116921,138039,124335,127759,142999,166434,201550,175936,157355,139463,152754,201200,148765,111281,76483,36430,10969,1885
27,Osaka,大阪府,大阪,27,270008.0,8839532,6453899.0,2385612.0,5397645.0,777863.0,979470.0,1014384.0,1322085.0,1219649.0,958924.0,1146208.0,612582.0,123259.0,4166.0,680921.0,326249,354672,375333,402530,488222,491248,490505,523879,588713,733372,658542,561107,459527,499397,640030,506178,379511,233071,97008,26251,4166
28,Hyogo,兵庫県,兵庫,28,280003.0,5523627,3947193.0,1576432.0,3262854.0,506395.0,539333.0,594854.0,801037.0,748684.0,667098.0,731595.0,396998.0,97658.0,3308.0,436665.0,203469,233196,247674,258721,279099,260234,278920,315934,359566,441471,393033,355651,320225,346873,417847,313748,235102,161896,75797,21861,3308
29,Nara,奈良県,奈良,29,290009.0,1344952,924592.0,420147.0,767172.0,122947.0,123023.0,133547.0,185032.0,179992.0,173144.0,196931.0,104701.0,25780.0,917.0,98725.0,45029,53696,58695,64252,65698,57325,62405,71142,82573,102459,92988,87004,81326,91818,111981,84950,63400,41301,19940,5840,917
30,Wakayama,和歌山県,和歌山,30,300004.0,944750,634647.0,309785.0,527563.0,81692.0,82016.0,92574.0,124528.0,125203.0,127637.0,138519.0,81158.0,22561.0,786.0,67758.0,31078,36680,39326,42366,42444,39572,43661,48913,55460,69068,62449,62754,60876,66761,79171,59348,46663,34495,17488,5073,786
31,Tottori,鳥取県,鳥取,31,310000.0,556959,378520.0,178268.0,309253.0,50502.0,47353.0,58234.0,74205.0,66546.0,78780.0,74402.0,46059.0,15446.0,611.0,44650.0,20849,23801,24617,25885,24243,23110,26547,31687,35322,38883,32556,33990,37030,41750,44253,30149,25448,20611,11689,3757,611
32,Shimane,島根県,島根,32,320005.0,672979,443280.0,229535.0,360510.0,60387.0,55473.0,66314.0,85954.0,78174.0,93461.0,95807.0,62215.0,21019.0,866.0,53145.0,24696,28449,29625,30762,28030,27443,30687,35627,40786,45168,38492,39682,43833,49628,57222,38585,33298,28917,15771,5248,866
33,Okayama,岡山県,岡山,33,330001.0,1893874,1325292.0,568499.0,1086305.0,175364.0,188994.0,204347.0,263152.0,228793.0,231997.0,257113.0,146123.0,42867.0,1618.0,153423.0,72264,81159,85564,89800,97181,91813,96771,107576,119694,143458,118803,109990,111219,120778,147426,109687,82923,63200,33004,9863,1618
34,Hiroshima,広島県,広島,34,340006.0,2812477,1990536.0,821897.0,1632634.0,259011.0,278074.0,306973.0,402673.0,352344.0,340746.0,378670.0,203828.0,58121.0,2362.0,229631.0,106573,123058,128271,130740,140808,137266,145698,161275,182608,220065,185573,166771,161830,178916,217400,161270,118562,85266,44066,14055,2362
35,Yamaguchi,山口県,山口,35,350001.0,1356144,890330.0,465780.0,733646.0,118602.0,114789.0,130904.0,179283.0,162944.0,184948.0,208448.0,121474.0,34512.0,1381.0,98825.0,45341,53484,57859,60743,59583,55206,59994,70910,81329,97954,83680,79264,84983,99965,121178,87270,69297,52177,26205,8307,1381
36,Tokushima,徳島県,徳島,36,360007.0,735070,490142.0,244807.0,407188.0,62177.0,61757.0,75063.0,98157.0,91356.0,105497.0,105781.0,62855.0,18823.0,591.0,52892.0,24493,28399,30062,32115,31857,29900,34359,40704,45598,52559,45571,45785,48740,56757,63608,42173,35103,27752,14579,4244,591
37,Kagawa,香川県,香川,37,370002.0,973922,671037.0,302859.0,552462.0,88533.0,89154.0,102360.0,138143.0,118116.0,125424.0,136156.0,76617.0,22968.0,909.0,75516.0,34873,40643,43059,45474,46074,43080,47841,54519,63886,74257,61065,57051,59215,66209,81631,54525,43023,33594,17730,5238,909
38,Ehime,愛媛県,愛媛,38,380008.0,1356343,912753.0,443466.0,754030.0,119734.0,115256.0,136791.0,183593.0,169678.0,186734.0,193938.0,114494.0,34776.0,1280.0,99945.0,45548,54397,58778,60956,58747,56509,63252,73539,84502,99091,84612,85066,87756,98978,114497,79441,65136,49358,26655,8121,1280
39,Kochi,高知県,高知,39,390003.0,701531,454836.0,246331.0,378224.0,58947.0,55360.0,66329.0,93623.0,86456.0,97990.0,107421.0,64346.0,21441.0,840.0,48414.0,22450,25964,28198,30749,28539,26821,29686,36643,42869,50754,42476,43980,45707,52283,63055,44366,35365,28981,16206,5235,840
40,Fukuoka,福岡県,福岡,40,400009.0,5124259,3711703.0,1412467.0,3029330.0,474078.0,532495.0,598708.0,733381.0,628330.0,638197.0,630740.0,347756.0,92417.0,3492.0,444576.0,210675,233901,237797,236281,268689,263806,278530,320178,349890,383491,327486,300844,300135,338062,374139,256601,203638,144118,70558,21859,3492
41,Saga,佐賀県,佐賀,41,410004.0,818251,570628.0,247594.0,460328.0,79942.0,74484.0,86670.0,105839.0,99030.0,115725.0,103224.0,63131.0,18976.0,705.0,70496.0,32804,37692,39804,40138,38601,35883,39766,46904,51584,54255,48946,50084,54167,61558,61720,41504,35563,27568,14381,4595,705
42,Nagasaki,長崎県,長崎,42,420000.0,1336023,898421.0,437517.0,731131.0,121217.0,108112.0,132289.0,167792.0,168351.0,199725.0,182322.0,114094.0,33419.0,1280.0,107337.0,50083,57254,59953,61264,55027,53085,61254,71035,78482,89310,82524,85827,93323,106402,109096,73226,64746,49348,25290,8129,1280
43,Kumamoto,熊本県,熊本,43,430005.0,1758815,1209969.0,548676.0,976977.0,163582.0,154899.0,186424.0,224560.0,212905.0,247677.0,225695.0,145598.0,45022.0,1787.0,150496.0,70453,80043,82496,81086,78217,76682,85983,100441,108886,115674,104029,108876,117103,130574,133712,91983,81536,64062,34083,10939,1787
44,Oita,大分県,大分,44,440001.0,1141784,766497.0,375244.0,627527.0,101871.0,99366.0,116122.0,150515.0,136048.0,159658.0,161508.0,97874.0,29415.0,1016.0,88348.0,40983,47365,50622,51249,51270,48096,53555,62567,71822,78693,68153,67895,74227,85431,94946,66562,55097,42777,22614,6801,1016
45,Miyazaki,宮崎県,宮崎,45,450006.0,1087372,736617.0,350624.0,593525.0,102324.0,88267.0,110154.0,140153.0,129606.0,158993.0,146557.0,91648.0,27183.0,1066.0,91290.0,42167,49123,51802,50522,44733,43534,49980,60174,67654,72499,63025,66581,74823,84170,88014,58543,51401,40247,20825,6358,1066
46,Kagoshima,鹿児島県,鹿児島,46,460001.0,1617850,1099011.0,518506.0,884627.0,150774.0,129463.0,168092.0,201001.0,195992.0,244771.0,206687.0,137509.0,43695.0,1723.0,137810.0,63756,74054,76574,74200,64143,65320,76140,91952,98458,102543,94353,101639,115879,128892,122973,83714,76271,61238,32923,10772,1723
47,Okinawa,沖縄県,沖縄,47,470007.0,1485484,1153145.0,331973.0,903961.0,166153.0,155599.0,182520.0,209387.0,183944.0,187462.0,130307.0,82170.0,22069.0,1220.0,164287.0,78778,85509,84897,81256,77134,78465,86277,96243,100390,108997,94765,89179,91255,96207,80111,50196,48321,33849,16704,5365,1220
48,Others,その他,その他,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
